IncidentID,Date,Asset,Platform,Department,IncidentType,Severity,InvestigationStatus,DaysToClose,PersonnelInvolved,Description
INC-1031,2025-04-24,Block A,Alpha,Marine,Equipment Failure,Medium,Completed,28,4,Equipment Failure at Alpha — Marine operations
INC-1059,2025-06-06,Tuna,Tuna-FPSO,HSE,Near Miss,,Not Required,,3,Near Miss at Tuna-FPSO — HSE operations
INC-1064,2025-02-26,Block A,Bravo,Drilling,Equipment Failure,Medium,Pending,,4,Equipment Failure at Bravo — Drilling operations
INC-1019,2025-06-13,Tuna,Tuna-FPSO,Production,First Aid,Low,Not Required,,1,First Aid at Tuna-FPSO — Production operations
INC-1087,2025-04-15,Block A,Bravo,Drilling,Near Miss,High,Completed,2,2,Near Miss at Bravo — Drilling operations
INC-1032,2025-12-08,Tuna,Tuna-FPSO,Logistics,Environmental Release,High,In Progress,,4,Environmental Release at Tuna-FPSO — Logistics operations
INC-1048,2025-02-06,Tuna,Tuna-FPSO,Drilling,Medical Treatment,Medium,Pending,,1,Medical Treatment at Tuna-FPSO — Drilling operations
INC-1050,2025-07-26,Block A,Bravo,HSE,First Aid,Low,Completed,19,5,First Aid at Bravo — HSE operations
INC-1081,2025-04-25,Tuna,Tuna-FPSO,Marine,Medical Treatment,Medium,In Progress,,1,Medical Treatment at Tuna-FPSO — Marine operations
INC-1003,2025-10-22,Block A,Bravo,Drilling,First Aid,Low,Completed,28,2,First Aid at Bravo — Drilling operations
INC-1018,2025-03-19,Tuna,Tuna-FPSO,Production,First Aid,Low,Not Required,,2,First Aid at Tuna-FPSO — Production operations
INC-1049,2025-03-18,Andaman II,Andaman-Rig,Marine,Near Miss,Low,Not Required,,5,Near Miss at Andaman-Rig — Marine operations
INC-1004,2025-01-07,Andaman II,Andaman-Rig,Drilling,First Aid,Low,Not Required,,5,First Aid at Andaman-Rig — Drilling operations
INC-1066,2025-04-02,Block A,Alpha,HSE,First Aid,Low,Not Required,,2,First Aid at Alpha — HSE operations
INC-1030,2025-02-20,Block A,Bravo,Production,Near Miss,Low,Not Required,,5,Near Miss at Bravo — Production operations
INC-1052,2025-04-05,Tuna,Tuna-FPSO,HSE,Near Miss,Low,Not Required,,5,Near Miss at Tuna-FPSO — HSE operations
INC-1006,2025-10-26,Tuna,Tuna-FPSO,HSE,Near Miss,Low,Completed,10,3,Near Miss at Tuna-FPSO — HSE operations
INC-1043,2025-09-01,Block A,Alpha,Drilling,Near Miss,Low,Completed,12,1,Near Miss at Alpha — Drilling operations
INC-1035,2025-11-08,Andaman II,Andaman-Rig,Logistics,Near Miss,Low,Completed,23,2,Near Miss at Andaman-Rig — Logistics operations
INC-1011,2025-12-03,Andaman II,Andaman-Rig,Logistics,Near Miss,Low,Not Required,,3,Near Miss at Andaman-Rig — Logistics operations
INC-1054,2025-11-20,Andaman II,Andaman-Rig,Drilling,Restricted Work,Medium,Completed,20,1,Restricted Work at Andaman-Rig — Drilling operations
INC-1023,2025-01-14,Block A,Bravo,Drilling,Medical Treatment,Medium,In Progress,,2,Medical Treatment at Bravo — Drilling operations
INC-1079,2025-10-27,Tuna,Tuna-FPSO,Drilling,Near Miss,Low,Completed,2,3,Near Miss at Tuna-FPSO — Drilling operations
INC-1016,2025-11-27,Andaman II,Andaman-Rig,Drilling,Environmental Release,High,In Progress,,5,Environmental Release at Andaman-Rig — Drilling operations
INC-1058,2025-09-03,Block A,Alpha,HSE,Near Miss,Low,Not Required,,4,Near Miss at Alpha — HSE operations
INC-1071,2025-11-05,Tuna,Tuna-FPSO,Marine,Medical Treatment,High,In Progress,,3,Medical Treatment at Tuna-FPSO — Marine operations
INC-1046,2025-04-19,Block A,Bravo,Maintenance,Medical Treatment,Medium,Completed,2,4,Medical Treatment at Bravo — Maintenance operations
INC-1042,2025-04-28,Tuna,Tuna-FPSO,HSE,Medical Treatment,Medium,Completed,11,3,Medical Treatment at Tuna-FPSO — HSE operations
INC-1045,2025-08-08,Block A,Alpha,Logistics,Near Miss,Low,Not Required,,5,Near Miss at Alpha — Logistics operations
INC-1075,2025-11-25,Block A,Bravo,Production,Lost Time Injury,High,Completed,6,1,Lost Time Injury at Bravo — Production operations
INC-1033,2025-09-02,Block A,Bravo,Drilling,Near Miss,Low,Completed,7,2,Near Miss at Bravo — Drilling operations
INC-1067,2025-08-07,Andaman II,Andaman-Rig,Logistics,Near Miss,Low,Not Required,,5,Near Miss at Andaman-Rig — Logistics operations
INC-1038,2025-02-04,Block A,Alpha,Maintenance,Equipment Failure,Medium,In Progress,,4,Equipment Failure at Alpha — Maintenance operations
INC-1028,2025-08-29,Andaman II,Andaman-Rig,Production,First Aid,Low,Completed,13,5,First Aid at Andaman-Rig — Production operations
INC-1080,2025-05-23,Tuna,Tuna-FPSO,Production,Medical Treatment,Medium,Completed,24,5,Medical Treatment at Tuna-FPSO — Production operations
INC-1065,2025-04-25,Block A,Bravo,Logistics,Near Miss,High,Not Required,,1,Near Miss at Bravo — Logistics operations
INC-1029,2025-09-12,Block A,Alpha,Drilling,Environmental Release,High,In Progress,,1,Environmental Release at Alpha — Drilling operations
INC-1078,2025-06-28,Tuna,Tuna-FPSO,Maintenance,Near Miss,Low,Not Required,,4,Near Miss at Tuna-FPSO — Maintenance operations
INC-1082,2025-03-11,Block A,Bravo,Maintenance,Lost Time Injury,High,In Progress,,3,Lost Time Injury at Bravo — Maintenance operations
INC-1017,2025-02-02,Andaman II,Andaman-Rig,Marine,Near Miss,Low,Completed,2,1,Near Miss at Andaman-Rig — Marine operations
INC-1062,2025-01-12,Block A,Alpha,HSE,First Aid,Low,Completed,2,5,First Aid at Alpha — HSE operations
INC-1065,2025-04-25,Block A,Bravo,Logistics,Near Miss,Low,Not Required,,1,Near Miss at Bravo — Logistics operations
INC-1053,2025-09-29,Block A,Bravo,,First Aid,Low,Completed,27,2,First Aid at Bravo — Maintenance operations
INC-1056,2025-04-30,Block A,Alpha,Logistics,Near Miss,Low,Completed,12,1,Near Miss at Alpha — Logistics operations
INC-1070,2025-04-24,Block A,Alpha,Maintenance,Near Miss,Low,Completed,13,5,Near Miss at Alpha — Maintenance operations
